x,Od poczatku,Od konca
-2.3600723999804814,1.2223555501122973E-16,1.0746958878371515E-16
-2.3559702999803562,1.2612133559741777E-16,1.0891287871572785E-16
-2.351868199980231,1.206812427767545E-16,1.0735856648125263E-16
-2.347766099980106,1.2378986724570495E-16,1.0058620603103919E-16
-2.343663999979981,1.2223555501122973E-16,9.892087149410145E-17
-2.3395618999798558,1.2212453270876723E-16,1.0591527654923993E-16
-2.3354597999797306,1.2112533198660458E-16,1.0580425424677741E-16
-2.3313576999796055,1.191269305422793E-16,1.0147438445073931E-16
-2.3272555999794804,1.2156942119645464E-16,1.0413891970983968E-16
-2.3231534999793553,1.1979306435705439E-16,1.0247358517290195E-16
-2.31905139997923,1.2534417948018017E-16,1.0080825063596422E-16
-2.314949299979105,1.2523315717771765E-16,1.0846878950587779E-16
-2.31084719997898,1.1268763699945338E-16,1.0591527654923993E-16
-2.306745099978855,1.191269305422793E-16,1.0580425424677741E-16
-2.3026429999787297,1.2601031329495527E-16,1.1202150318467828E-16
-2.2985408999786046,1.147970607462412E-16,1.0802470029602773E-16
-2.2944387999784794,1.2800871473928055E-16,1.135758154191535E-16
-2.2903366999783543,1.2168044349891717E-16,1.0735856648125263E-16
-2.286234599978229,1.1612932837579138E-16,1.1002310174035301E-16
-2.282132499978104,1.141309269314661E-16,1.0957901253050295E-16
-2.278030399977979,1.1723955140041654E-16,1.0114131754335176E-16
-2.273928299977854,1.270095140171179E-16,1.1179945857975325E-16
-2.2698261999777287,1.2234657731369226E-16,1.1224354778960331E-16
-2.2657240999776036,1.2734258092450546E-16,1.1302070390684094E-16
-2.2616219999774785,1.2378986724570495E-16,1.0980105713542798E-16
-2.2575198999773534,1.20570220474292E-16,1.0735856648125263E-16
-2.2534177999772282,1.226796442210798E-16,1.1057821325266559E-16
-2.249315699977103,1.2312373343092986E-16,1.1324274851176597E-16
-2.245213599976978,1.1790568521519163E-16,1.0891287871572785E-16
-2.241111499976853,1.2223555501122973E-16,1.0935696792557792E-16
-2.2370093999767278,1.255662240851052E-16,1.127986593019159E-16
-2.2329072999766026,1.2678746941219287E-16,1.0957901253050295E-16
-2.2288051999764775,1.2501111257279261E-16,1.1224354778960331E-16
-2.2247030999763524,1.1790568521519163E-16,1.0946799022804043E-16
-2.2206009999762273,1.2079226507921704E-16,1.1390888232654106E-16
-2.216498899976102,1.1735057370287904E-16,1.1091128016005314E-16
-2.212396799975977,1.1968204205459188E-16,1.1191048088221578E-16
-2.208294699975852,1.1313172620930344E-16,1.0180745135812686E-16
-2.204192599975727,1.2112533198660458E-16,1.0036416142611415E-16
-2.2000904999756017,1.1568523916594132E-16,9.747758156208874E-17
-2.1959883999754766,1.1923795284474182E-16,9.947598300641403E-17
-2.1918862999753514,1.127986593019159E-16,9.725553695716371E-17
-2.1877841999752263,1.0758061108617767E-16,9.892087149410145E-17
-2.183682099975101,1.129096816043784E-16,9.681144774731365E-17
-2.179579999974976,1.135758154191535E-16,9.814371537686384E-17
-2.175477899974851,1.1246559239452835E-16,1.0336176359260208E-16
-2.171375799974726,1.1579626146840382E-16,1.0336176359260208E-16
-2.1672736999746007,1.1191048088221578E-16,9.947598300641403E-17
-2.1631715999744756,1.1435297153639113E-16,9.825473767932635E-17
-2.1590694999743505,1.1757261830780407E-16,1.0402789740737717E-16
-2.1549673999742254,1.2523315717771765E-16,1.0225154056797692E-16
-2.1508652999741003,1.127986593019159E-16,9.803269307440132E-17
-2.146763199973975,1.1390888232654106E-16,1.0158540675320183E-16
-2.14266109997385,1.1601830607332885E-16,1.0325074129013956E-16
-2.138558999973725,1.1335377081422847E-16,1.1146639167236572E-16
-2.1344568999735998,1.1124434706744069E-16,1.0613732115416496E-16
-2.1303547999734747,1.1335377081422847E-16,1.0269562977782698E-16
-2.1262526999733495,1.1823875212257917E-16,1.0669243266647754E-16
-2.1221505999732244,1.191269305422793E-16,1.1568523916594132E-16
-2.1180484999730993,1.1513012765362872E-16,1.1224354778960331E-16
-2.113946399972974,1.1524114995609125E-16,1.0724754417879012E-16
-2.109844299972849,1.2045919817182948E-16,1.0447198661722722E-16
-2.105742199972724,1.1268763699945338E-16,9.903189379656397E-17
-2.101640099972599,1.1168843627729075E-16,1.0524914273446483E-16
-2.0975379999724737,1.1624035067825388E-16,1.0946799022804043E-16
-2.0934358999723486,1.1063372440389686E-16,1.0358380819752711E-16
-2.0893337999722235,1.0230705171920817E-16,1.0835776720341528E-16
-2.0852316999720983,1.0258460747536447E-16,1.0891287871572785E-16
-2.081129599971973,9.758860386455126E-17,1.1024514634527804E-16
-2.077027499971848,9.331424521974441E-17,1.0824674490095276E-16
-2.072925399971723,9.692247004977617E-17,1.099120794378905E-16
-2.068823299971598,9.592326932761352E-17,1.1091128016005314E-16
-2.0647211999714727,9.753309271332E-17,1.0474954237338352E-16
-2.0606190999713476,9.781064846947629E-17,1.1268763699945338E-16
-2.0565169999712225,9.736655925962623E-17,1.121325254871408E-16
-2.0524148999710974,9.753309271332E-17,1.0863532295957157E-16
-2.0483127999709723,9.903189379656397E-17,1.1246559239452835E-16
-2.044210699970847,9.520162436160718E-17,1.1118883591620943E-16
-2.040108599970722,1.0125233984581428E-16,1.163513729807164E-16
-2.036006499970597,9.536815781530095E-17,1.0191847366058937E-16
-2.031904399970472,9.880984919163893E-17,1.0758061108617767E-16
-2.0278022999703467,9.614531393253856E-17,1.0708101072509635E-16
-2.0237001999702215,9.758860386455126E-17,1.0597078770047119E-16
-2.0195980999700964,9.670042544485113E-17,1.1068923555512811E-16
-2.0154959999699713,9.903189379656397E-17,1.0869083411080282E-16
-2.011393899969846,1.0019762797242037E-16,1.0974554598419673E-16
-2.007291799969721,1.0019762797242037E-16,1.149080830487037E-16
-2.003189699969596,9.414691248821327E-17,1.0846878950587779E-16
-1.9990875999695203,9.370282327836321E-17,1.0508260928077107E-16
-1.9949854999696173,6.339373470609643E-17,7.83262343873048E-17
-1.9908833999697142,6.367129046225273E-17,8.276712648580543E-17
-1.9867812999698111,6.472600233564662E-17,8.22675261247241E-17
-1.982679199969908,6.550315845288423E-17,7.899236820207989E-17
-1.978577099970005,6.428191312579656E-17,8.282263763703668E-17
-1.974474999970102,6.38378239159465E-17,8.215650382226158E-17
-1.9703728999701988,6.583622536027178E-17,8.021361352916756E-17
-1.9662707999702957,6.256106743762757E-17,7.877032359715486E-17
-1.9621686999703927,5.972999872483343E-17,7.926992395823617E-17
-1.9580665999704896,6.522560269672795E-17,8.049116928532385E-17
-1.9539644999705865,6.333822355486518E-17,7.677192215282958E-17
-1.9498623999706834,6.150635556423368E-17,8.154588115871775E-17
-1.9457602999707804,6.411537967210279E-17,8.1601392309949E-17
-1.9416581999708773,6.183942247162122E-17,7.999156892424253E-17
-1.9375560999709742,6.566969190657801E-17,8.18789480661053E-17
-1.9334539999710711,6.084022174945858E-17,8.093525849517391E-17
-1.929351899971168,6.439293542825907E-17,7.721601136267964E-17
-1.925249799971265,6.222800053024002E-17,8.137934770502397E-17
-1.921147699971362,6.261657858885882E-17,8.260059303211165E-17
-1.9170455999714588,6.13398221105399E-17,7.827072323607353E-17
-1.9129434999715558,6.389333506717776E-17,7.682743330406083E-17
-1.9088413999716527,6.361577931102146E-17,7.455147610357926E-17
-1.9047392999717496,6.389333506717776E-17,7.954747971439247E-17
-1.9006371999718465,6.31716901011714E-17,7.649436639667328E-17
-1.8965350999719435,6.256106743762757E-17,7.760458942129844E-17
-1.8924329999720404,6.400435736964028E-17,7.427392034742298E-17
-1.8883308999721373,6.517009154549669E-17,7.37188088351104E-17
-1.8842287999722342,6.111777750561487E-17,7.693845560652334E-17
-1.8801266999723312,6.311617894994015E-17,7.704947790898586E-17
-1.876024599972428,6.333822355486518E-17,7.399636459126668E-17
-1.871922499972525,6.189493362285248E-17,7.438494264988549E-17
-1.867820399972622,6.145084441300241E-17,7.471800955727304E-17
-1.8637182999727189,6.294964549624637E-17,7.505107646466059E-17
-1.8596161999728158,6.328271240363392E-17,7.477352070850429E-17
-1.8555140999729127,5.64548408021892E-17,7.327471962526034E-17
-1.8514119999730096,5.934142066621461E-17,7.560618797697317E-17
-1.8473098999731066,5.828670879282072E-17,7.266409696171649E-17
-1.8432077999732035,6.045164369083977E-17,7.444045380111674E-17
-1.8391056999733004,6.045164369083977E-17,7.521760991835435E-17
-1.8350035999733973,6.072919944699607E-17,7.266409696171649E-17
-1.8309014999734943,5.556666238248908E-17,7.294165271787279E-17
-1.8267993999735912,6.072919944699607E-17,7.488454301096681E-17
-1.8226972999736881,5.631606292411106E-17,7.124856260531943E-17
-1.818595199973785,5.2541304640385534E-17,7.202571872255704E-17
-1.814493099973882,5.259681579161679E-17,7.482903185973556E-17
-1.810390999973979,5.165312622068541E-17,7.771561172376095E-17
-1.8062888999740758,5.2680082518463675E-17,7.327471962526034E-17
-1.8021867999741727,5.054290319606025E-17,7.58282325818982E-17
-1.7980846999742697,4.954370247389761E-17,7.310818617156656E-17
-1.7939825999743666,5.0237591864288335E-17,7.16093850883226E-17
-1.7898804999744635,5.08759701034478E-17,7.505107646466059E-17
-1.7857783999745604,4.971023592759138E-17,7.360778653264788E-17
-1.7816762999746574,5.012656956182582E-17,7.349676423018537E-17
-1.7775741999747543,4.904410211281629E-17,7.402412016688231E-17
-1.7734720999748512,4.976574707882264E-17,7.319145289841345E-17
-1.7693699999749481,5.168088179630104E-17,7.549516567451065E-17
-1.765267899975045,5.265232694284805E-17,7.488454301096681E-17
-1.761165799975142,5.0237591864288335E-17,7.627232179174826E-17
-1.757063699975239,5.215272658176673E-17,7.649436639667328E-17
-1.7529615999753358,5.0653925498522766E-17,7.313594174718218E-17
-1.7488594999754328,5.032085859113522E-17,7.288614156664152E-17
-1.7447573999755297,4.934941344458821E-17,7.047140648808182E-17
-1.7406552999756266,5.229150445984487E-17,7.602252161120759E-17
-1.7365531999757235,4.9460435747050725E-17,7.432943149865423E-17
-1.7324510999758205,5.201394870368859E-17,7.510658761589184E-17
-1.7283489999759174,5.0154325137441445E-17,7.338574192772285E-17
-1.7242468999760143,5.1486592766991634E-17,7.654987754790454E-17
-1.7201447999761112,5.1486592766991634E-17,7.785438960183911E-17
-1.7160426999762082,5.165312622068541E-17,7.363554210826351E-17
-1.711940599976305,4.979350265443827E-17,7.321920847402907E-17
-1.707838499976402,5.054290319606025E-17,7.335798635210721E-17
-1.703736399976499,5.229150445984487E-17,7.477352070850429E-17
-1.6996342999765959,5.3040905001466855E-17,7.158162951270697E-17
-1.6955321999766928,5.130618152549005E-17,7.308043059595093E-17
-1.6914300999767897,4.8613890690774044E-17,7.19008186322867E-17
-1.6873279999768866,4.9654724776360124E-17,7.779887845060784E-17
-1.6832258999769836,5.090372567906343E-17,7.722988915048746E-17
-1.6791237999770805,4.801714581503802E-17,7.480127628411992E-17
-1.6750216999771774,4.891920202254596E-17,7.29555305056806E-17
-1.6709195999772744,4.699018951725975E-17,7.714662242364057E-17
-1.6668174999773713,4.9404924595819467E-17,7.328859741306814E-17
-1.6627153999774682,4.767020111984266E-17,7.083222897108499E-17
-1.6586132999775651,4.835021272242557E-17,7.407963131811357E-17
-1.654511199977662,4.668487818548783E-17,7.323308626183689E-17
-1.650409099977759,4.800326802723021E-17,7.623068842832482E-17
-1.646306999977856,4.764244554422703E-17,7.380207556195728E-17
-1.6422048999779528,4.976574707882264E-17,7.302491944471967E-17
-1.6381027999780498,4.872491299323656E-17,7.13318293321663E-17
-1.6340006999781467,4.6573855883025315E-17,7.13179515443585E-17
-1.6298985999782436,4.796857355771067E-17,7.42045314083839E-17
-1.6257964999783405,4.739264536368637E-17,7.40171812729784E-17
-1.6216943999784375,4.876654635666E-17,7.632089404907561E-17
-1.6175922999785344,4.719141744047306E-17,7.267103585562041E-17
-1.6134901999786313,4.787142904305597E-17,7.580047700628256E-17
-1.6093880999787282,4.871103520542874E-17,7.576578253676303E-17
-1.6052859999788252,4.814204590530835E-17,7.551598235622236E-17
-1.601183899978922,4.705610900934687E-17,7.243858290983952E-17
-1.597081799979019,4.8606951796870134E-17,7.183489914019958E-17
-1.592979699979116,4.7711834483266105E-17,6.89309720414144E-17
-1.5888775999792129,4.7843673467440337E-17,7.134570711997412E-17
-1.5847754999793098,4.7210499398708805E-17,7.097968046654302E-17
-1.5806733999794067,4.587649704568264E-17,7.084090258846488E-17
-1.5765712999795036,4.770402822762421E-17,7.12277459236077E-17
-1.5724691999796006,4.637154375763952E-17,6.971094708430048E-17
-1.5683670999796975,4.748403534825566E-17,6.01568476378333E-17
-1.5642649999797944,4.757435764779494E-17,5.3215244710802524E-17
