x,Ze wzoru Taylora,Uzywajac poprzedzniego wyrazu
-2.995897899999875,2.2859492077031975E-16,1.7752466163756253E-16
-2.9917957999997498,2.2781776465308213E-16,1.751931932858497E-16
-2.9876936999996246,2.2537527399890676E-16,1.794120407794253E-16
-2.9835915999994995,2.2060131499301862E-16,1.7041923427996152E-16
-2.9794894999993744,2.1660451210436805E-16,1.7641443861293737E-16
-2.9753873999992493,2.282618538629322E-16,1.7563728249569977E-16
-2.971285299999124,2.2259971643734387E-16,1.7708057242771247E-16
-2.967183199998999,2.1638246749944302E-16,1.7330581414398693E-16
-2.963081099998874,2.2892798767770726E-16,1.716404796070492E-16
-2.958978999998749,2.3037127760972E-16,1.6731060981101108E-16
-2.9548768999986237,2.2604140781368188E-16,1.7674750552032493E-16
-2.9507747999984986,2.2304380564719394E-16,1.7530421558831221E-16
-2.9466726999983734,2.2604140781368188E-16,1.758593271006248E-16
-2.9425705999982483,2.2370993946196906E-16,1.7996715229173787E-16
-2.938468499998123,2.1882495815361836E-16,1.7708057242771247E-16
-2.934366399997998,2.242650509742816E-16,1.751931932858497E-16
-2.930264299997873,2.2792878695554463E-16,1.801891968966629E-16
-2.926162199997748,2.2737367544323206E-16,1.736388810513745E-16
-2.9220600999976227,2.3381296898605795E-16,1.7696955012524996E-16
-2.9179579999974976,2.254862963013693E-16,1.7441603716861209E-16
-2.9138558999973725,2.2604140781368188E-16,1.7319479184152443E-16
-2.9097537999972474,2.2992718839986994E-16,1.8107737531636303E-16
-2.9056516999971223,2.290390099801698E-16,1.773026170326375E-16
-2.901549599996997,2.2781776465308213E-16,1.765254609153999E-16
-2.897447499996872,2.2881696537524476E-16,1.779687508474126E-16
-2.893345399996747,2.294830991900199E-16,1.80855330711438E-16
-2.8892432999966218,2.2437607327674413E-16,1.6975310046518643E-16
-2.8851411999964967,2.1804780203638074E-16,1.7008616737257399E-16
-2.8810390999963715,2.2892798767770726E-16,1.8385293287792591E-16
-2.8769369999962464,2.2160051571518125E-16,1.8118839761882554E-16
-2.8728348999961213,2.254862963013693E-16,1.8351986597053838E-16
-2.868732799995996,2.270406085358445E-16,1.6997514507011146E-16
-2.864630699995871,2.284838984678572E-16,1.7674750552032493E-16
-2.860528599995746,2.2393198406689406E-16,1.7619239400801234E-16
-2.856426499995621,2.3103741142449507E-16,1.7863488466218769E-16
-2.8523243999954957,2.3647750424515833E-16,1.7807977314987512E-16
-2.8482222999953706,2.1738166822160565E-16,1.7452705947107462E-16
-2.8441201999952455,2.2115642650533118E-16,1.7852386235972518E-16
-2.8400180999951203,2.26929586233382E-16,1.7563728249569977E-16
-2.835915999994995,2.235989171595065E-16,1.8030021919912543E-16
-2.83181389999487,2.184918912462308E-16,1.7963408538435034E-16
-2.827711799994745,2.19824158875781E-16,1.7497114868092468E-16
-2.82360969999462,1.8396395518038844E-16,1.5132339825640884E-16
