x,Od poczatku,Od konca
-2.995897899999875,1.608713162681852E-16,1.7752466163756253E-16
-2.9917957999997498,1.6353585152728557E-16,1.751931932858497E-16
-2.9876936999996246,1.7419399256368706E-16,1.794120407794253E-16
-2.9835915999994995,1.6786572132332367E-16,1.7041923427996152E-16
-2.9794894999993744,1.7419399256368706E-16,1.7641443861293737E-16
-2.9753873999992493,1.7685852782278743E-16,1.7563728249569977E-16
-2.971285299999124,1.650901637617608E-16,1.7708057242771247E-16
-2.967183199998999,1.6786572132332367E-16,1.7330581414398693E-16
-2.963081099998874,1.6830981053317373E-16,1.716404796070492E-16
-2.958978999998749,1.6908696665041133E-16,1.6731060981101108E-16
-2.9548768999986237,1.6731060981101108E-16,1.7674750552032493E-16
-2.9507747999984986,1.6686652060116102E-16,1.7530421558831221E-16
-2.9466726999983734,1.6842083283563624E-16,1.758593271006248E-16
-2.9425705999982483,1.7463808177353712E-16,1.7996715229173787E-16
-2.938468499998123,1.6664447599623598E-16,1.7708057242771247E-16
-2.934366399997998,1.688649220454863E-16,1.751931932858497E-16
-2.930264299997873,1.7574830479816228E-16,1.801891968966629E-16
-2.926162199997748,1.6775469902086114E-16,1.736388810513745E-16
-2.9220600999976227,1.7386092565629952E-16,1.7696955012524996E-16
-2.9179579999974976,1.724176357242868E-16,1.7441603716861209E-16
-2.9138558999973725,1.645350522494482E-16,1.7319479184152443E-16
-2.9097537999972474,1.6964207816272392E-16,1.8107737531636303E-16
-2.9056516999971223,1.723066134218243E-16,1.773026170326375E-16
-2.901549599996997,1.6919798895287386E-16,1.765254609153999E-16
-2.897447499996872,1.7419399256368706E-16,1.779687508474126E-16
-2.893345399996747,1.6853185513809876E-16,1.80855330711438E-16
-2.8892432999966218,1.6686652060116102E-16,1.6975310046518643E-16
-2.8851411999964967,1.5909495942878494E-16,1.7008616737257399E-16
-2.8810390999963715,1.6486811915683576E-16,1.8385293287792591E-16
-2.8769369999962464,1.674216321134736E-16,1.8118839761882554E-16
-2.8728348999961213,1.709743457922741E-16,1.8351986597053838E-16
-2.868732799995996,1.694200335577989E-16,1.6997514507011146E-16
-2.864630699995871,1.6364687382974807E-16,1.7674750552032493E-16
-2.860528599995746,1.6842083283563624E-16,1.7619239400801234E-16
-2.856426499995621,1.6697754290362354E-16,1.7863488466218769E-16
-2.8523243999954957,1.716404796070492E-16,1.7807977314987512E-16
-2.8482222999953706,1.6853185513809876E-16,1.7452705947107462E-16
-2.8441201999952455,1.6486811915683576E-16,1.7852386235972518E-16
-2.8400180999951203,1.6897594434794883E-16,1.7563728249569977E-16
-2.835915999994995,1.7064127888488655E-16,1.8030021919912543E-16
-2.83181389999487,1.717515019095117E-16,1.7963408538435034E-16
-2.827711799994745,1.674216321134736E-16,1.7497114868092468E-16
-2.82360969999462,1.3933298959045713E-16,1.5132339825640884E-16
