x,n=5,n=10,n=15,n=20
-2.9179579999974976,0.011652882657251994,8.195986329617711E-10,2.2071233729548112E-16,2.2071233729548112E-16
-2.9138558999973725,0.011492234947653748,7.969163711152305E-10,2.2370993946196906E-16,2.2370993946196906E-16
-2.9097537999972474,0.011333574999288437,7.748311247057771E-10,2.2526425169644425E-16,2.2526425169644425E-16
-2.9056516999971223,0.011176881055080834,7.533279755556066E-10,2.1682655670929308E-16,2.1682655670929308E-16
-2.901549599996997,0.011022131564573922,7.323923587598813E-10,2.2004620348070602E-16,2.2004620348070602E-16
-2.897447499996872,0.010869305182272507,7.12010119641171E-10,2.2315482794965644E-16,2.2315482794965644E-16
-2.893345399996747,0.010718380765997555,6.921673485482671E-10,2.2137847111025621E-16,2.2137847111025621E-16
-2.8892432999966218,0.010569337375251495,6.728504785558087E-10,2.1660451210436805E-16,2.1660451210436805E-16
-2.8851411999964967,0.010422154269593647,6.540463521886863E-10,2.0239365738916603E-16,2.0239365738916603E-16
-2.8810390999963715,0.010276810907026656,6.35742053667343E-10,2.2237767183241887E-16,2.2237767183241887E-16
-2.8769369999962464,0.01013328694239356,6.179249284476995E-10,2.2071233729548112E-16,2.2071233729548112E-16
-2.8728348999961213,0.00999156222578465,6.005826955757243E-10,2.1826984664130577E-16,2.1826984664130577E-16
-2.868732799995996,0.00985161680095552,5.837034123823414E-10,2.2248869413488137E-16,2.2248869413488137E-16
-2.864630699995871,0.00971343090375519,5.672752926288993E-10,2.2104540420286868E-16,2.2104540420286868E-16
-2.860528599995746,0.009576984960564573,5.512869135637643E-10,2.1527224447481786E-16,2.1527224447481786E-16
-2.856426499995621,0.009442259586745034,5.357271403161335E-10,2.1693757901175558E-16,2.1693757901175558E-16
-2.8523243999954957,0.009309235585097655,5.205850315270766E-10,2.261524301161444E-16,2.261524301161444E-16
-2.8482222999953706,0.009177893944332105,5.058499835675078E-10,2.1660451210436805E-16,2.1660451210436805E-16
-2.8441201999952455,0.009048215837546104,4.915116116332996E-10,2.1727064591914314E-16,2.1727064591914314E-16
-2.8400180999951203,0.00892018262071464,4.7755979448727E-10,2.1882495815361836E-16,2.1882495815361836E-16
-2.835915999994995,0.008793775831189411,4.639846352683108E-10,2.1682655670929308E-16,2.1682655670929308E-16
-2.83181389999487,0.008668977186208241,4.507765024586163E-10,2.1327384303049258E-16,2.1327384303049258E-16
-2.827711799994745,0.008545768581414207,4.379259890274767E-10,2.1804780203638074E-16,2.1804780203638074E-16
-2.82360969999462,0.008424132089384853,4.25423888006371E-10,1.779687508474126E-16,1.779687508474126E-16
-2.8195075999944947,0.008304049958171248,4.1326123911833437E-10,1.7674750552032493E-16,1.7674750552032493E-16
-2.8154054999943696,0.008185504609846562,4.0142934454312494E-10,1.8240964294591322E-16,1.8240964294591322E-16
-2.8113033999942445,0.0080684786390648,3.8991962925116755E-10,1.8285373215576328E-16,1.8285373215576328E-16
-2.8072012999941194,0.007952954811628735,3.787237953245537E-10,1.73749903353837E-16,1.73749903353837E-16
-2.8030991999939943,0.00783891606306779,3.678337163748324E-10,1.8351986597053838E-16,1.8351986597053838E-16
-2.798997099993869,0.0077263454972254725,3.5724145552862297E-10,1.8118839761882554E-16,1.8118839761882554E-16
-2.794894999993744,0.007615226384856117,3.46939338147223E-10,1.8107737531636303E-16,1.8107737531636303E-16
-2.790792899993619,0.0075055421622315655,3.36919757426557E-10,1.7541523789077474E-16,1.7541523789077474E-16
-2.786690799993494,0.007397276429756565,3.2717544129479135E-10,1.7563728249569977E-16,1.7563728249569977E-16
-2.7825886999933687,0.007290412950594425,3.1769915587176457E-10,1.7508217098338718E-16,1.7508217098338718E-16
-2.7784865999932435,0.007184935649301286,3.0848392706950277E-10,1.7752466163756253E-16,1.7752466163756253E-16
-2.7743844999931184,0.007080828610470065,2.995229408941924E-10,1.800781745942004E-16,1.800781745942004E-16
-2.7702823999929933,0.006978076077383558,2.908095547704548E-10,1.8673951274195132E-16,1.8673951274195132E-16
-2.766180299992868,0.006876662450676667,2.8233725191117995E-10,1.7807977314987512E-16,1.7807977314987512E-16
-2.762078199992743,0.006776572287007899,2.7409971625758087E-10,1.7696955012524996E-16,1.7696955012524996E-16
-2.757976099992618,0.006677790297739874,2.660907894025399E-10,1.7086332348981158E-16,1.7086332348981158E-16
-2.753873999992493,0.006580301347628884,2.5830445038454996E-10,1.758593271006248E-16,1.758593271006248E-16
-2.7497718999923677,0.006484090453523631,2.507348029201495E-10,1.7397194795876202E-16,1.7397194795876202E-16
-2.7456697999922426,0.006389142783072578,2.433761745468388E-10,1.6486811915683576E-16,1.6486811915683576E-16
-2.7415676999921175,0.006295443653440625,2.362229577501651E-10,1.680877659282487E-16,1.680877659282487E-16
-2.7374655999919923,0.006202978530034367,2.2926971554593222E-10,1.6608936448392342E-16,1.6608936448392342E-16
-2.7333634999918672,0.0061117330252362136,2.2251115427973645E-10,1.6342482922482304E-16,1.6342482922482304E-16
-2.729261399991742,0.006021692897147464,2.1594208743369592E-10,1.6908696665041133E-16,1.6908696665041133E-16
-2.725159299991617,0.005932844048339848,2.095575046823228E-10,1.6786572132332367E-16,1.6786572132332367E-16
-2.721057199991492,0.005845172524616007,2.0335246031510934E-10,1.7352785874891196E-16,1.7352785874891196E-16
-2.7169550999913668,0.005758664513778372,1.9732218792256617E-10,1.650901637617608E-16,1.650901637617608E-16
-2.7128529999912416,0.005673306344406853,1.9146198793063006E-10,1.680877659282487E-16,1.680877659282487E-16
-2.7087508999911165,0.005589084484644951,1.8576734250874694E-10,1.6708856520608605E-16,1.6708856520608605E-16
-2.7046487999909914,0.0055059855409942985,1.8023382775123054E-10,1.6364687382974807E-16,1.6364687382974807E-16
-2.7005466999908663,0.005423996257117967,1.7485708847519988E-10,1.6786572132332367E-16,1.6786572132332367E-16
-2.696444599990741,0.005343103512651822,1.6963288773652607E-10,1.6864287744056127E-16,1.6864287744056127E-16
-2.692342499990616,0.0052632943220244,1.6455717266605774E-10,1.736388810513745E-16,1.736388810513745E-16
-2.688240399990491,0.005184555833285147,1.5962592858631552E-10,1.6620038678638595E-16,1.6620038678638595E-16
-2.684138299990366,0.0051068753269409494,1.5483525128701103E-10,1.630917623174355E-16,1.630917623174355E-16
-2.6800361999902407,0.0050302402148007805,1.501813372550842E-10,1.630917623174355E-16,1.630917623174355E-16
-2.6759340999901156,0.004954638038828607,1.4566046868669247E-10,1.5709655798445965E-16,1.5709655798445965E-16
-2.6718319999899904,0.004880056470004514,1.4126905711897565E-10,1.709743457922741E-16,1.709743457922741E-16
-2.6677298999898653,0.00480648330719376,1.370035809244996E-10,1.6686652060116102E-16,1.6686652060116102E-16
-2.66362779998974,0.004733906476024055,1.3286060751571683E-10,1.7352785874891196E-16,1.7352785874891196E-16
-2.659525699989615,0.004662314027770781,1.2883681088649013E-10,1.6853185513809876E-16,1.6853185513809876E-16
-2.65542359998949,0.004591694138250148,1.249289440785617E-10,1.6775469902086114E-16,1.6775469902086114E-16
-2.651321499989365,0.004522035106720456,1.2113379588285511E-10,1.6853185513809876E-16,1.6853185513809876E-16
-2.6472193999892397,0.004453325354790878,1.1744835270999233E-10,1.6719958750854858E-16,1.6719958750854858E-16
-2.6431172999891146,0.004385553425338576,1.138695433500203E-10,1.688649220454863E-16,1.688649220454863E-16
-2.6390151999889895,0.004318707981433157,1.1039448499783333E-10,1.5698553568199713E-16,1.5698553568199713E-16
-2.6349130999888644,0.004252777805269265,1.0702029551445947E-10,1.6686652060116102E-16,1.6686652060116102E-16
-2.6308109999887392,0.004187751797106472,1.0374422976244802E-10,1.589839371263224E-16,1.589839371263224E-16
-2.626708899988614,0.004123618974217398,1.0056353028087273E-10,1.4543921622589551E-16,1.4543921622589551E-16
